,title,actor,year,rating
98,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",2005,8.2
99,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",2018,8.2
100,Spider-Man: No Way Home,"Jon Watts (dir.), Tom Holland, Zendaya",2021,8.2
101,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",2013,8.2
102,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",1948,8.2
103,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",1995,8.2
104,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",1992,8.2
105,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",2007,8.2
106,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",1963,8.2
107,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",2001,8.2
108,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",1975,8.2
109,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",1998,8.2
110,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",2010,8.2
111,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",1999,8.2
112,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",1993,8.2
113,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",1980,8.2
114,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",1939,8.2
115,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",1924,8.2
116,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",1954,8.2
117,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",2003,8.2
118,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",1974,8.2
119,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",2007,8.2
120,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",1982,8.2
121,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",1980,8.1
122,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",2003,8.1
123,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",2005,8.1
124,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",1957,8.1
125,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",1998,8.1
126,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",2015,8.1
127,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",1925,8.1
128,To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",1942,8.1
129,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",2011,8.1
130,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",1996,8.1
131,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",2017,8.1
132,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",1939,8.1
133,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",1954,8.1
134,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",2008,8.1
135,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",2019,8.1
136,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",2013,8.1
137,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",1996,8.1
138,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",1949,8.1
139,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",1975,8.1
140,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",1993,8.1
141,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",1959,8.1
142,The Best Years of Our Lives,"William Wyler (dir.), Myrna Loy, Dana Andrews",1946,8.1
143,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",1995,8.1
144,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",2004,8.1
145,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",2011,8.1
146,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",2002,8.1
147,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",1982,8.1
148,Mary and Max.,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",2009,8.1
149,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",1978,8.1
150,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",2013,8.1
151,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",2016,8.1
152,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",2014,8.1
153,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",2014,8.1
154,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",2010,8.1
155,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",2015,8.1
156,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",2022,8.1
157,The Grapes of Wrath,"John Ford (dir.), Henry Fonda, Jane Darwell",1940,8.1
158,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",1989,8.1
159,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",1998,8.1
160,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",2015,8.1
161,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",2004,8.1
162,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",2001,8.1
163,Jaws,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",1975,8.1
164,Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",2019,8.1
165,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",1976,8.1
166,The Red Shoes,"Michael Powell (dir.), Anton Walbrook, Marius Goring",1948,8.1
167,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",1976,8.1
168,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",1934,8.1
169,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",1986,8.1
170,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",2009,8.1
171,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",1940,8.1
172,All Quiet on the Western Front,"Lewis Milestone (dir.), Lew Ayres, Louis Wolheim",1930,8.1
173,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",1986,8.1
174,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",2013,8.1
175,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",2017,8.1
176,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",2004,8.1
177,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",2007,8.1
178,Paper Moon,"Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal",1973,8.1
179,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",2015,8.1
180,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",1967,8.1
181,The Wizard of Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",1939,8.1
182,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",2007,8.1
183,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1984,8.1
184,The Sound of Music,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",1965,8.1
185,Inherit the Wind,"Stanley Kramer (dir.), Spencer Tracy, Fredric March",1960,8.0
186,The Exorcist,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",1973,8.0
187,White Heat,"Raoul Walsh (dir.), James Cagney, Virginia Mayo",1949,8.0
188,Groundhog Day,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",1993,8.0
189,Ace in the Hole,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",1951,8.0
190,The Man Who Shot Liberty Valance,"John Ford (dir.), James Stewart, John Wayne",1962,8.0
191,The Incredibles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",2004,8.0
192,Pirates of the Caribbean: The Curse of the Black Pearl,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",2003,8.0
193,The Iron Giant,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",1999,8.0
194,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",1982,8.0
195,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",1984,8.0
196,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",1979,8.0
197,The Help,"Tate Taylor (dir.), Viola Davis, Emma Stone",2011,8.0
198,Dances with Wolves,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",1990,8.0
199,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",1992,8.0
200,Beauty and the Beast,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",1991,8.0
201,Roman Holiday,"William Wyler (dir.), Gregory Peck, Audrey Hepburn",1953,8.0
202,Scent of a Woman,"Martin Brest (dir.), Al Pacino, Chris O'Donnell",1992,8.0
203,Soul,"Pete Docter (dir.), Jamie Foxx, Tina Fey",2020,8.0
204,Dog Day Afternoon,"Sidney Lumet (dir.), Al Pacino, John Cazale",1975,8.0
205,Donnie Darko,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",2001,8.0
206,Guardians of the Galaxy,"James Gunn (dir.), Chris Pratt, Vin Diesel",2014,8.0
207,Kill Bill: Vol. 2,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",2004,8.0
208,JFK,"Oliver Stone (dir.), Kevin Costner, Gary Oldman",1991,8.0
209,The Shop Around the Corner,"Ernst Lubitsch (dir.), Margaret Sullavan, James Stewart",1940,8.0
210,Lion,"Garth Davis (dir.), Dev Patel, Nicole Kidman",2016,8.0
211,Song of the Sea,"Tomm Moore (dir.), David Rawle, Brendan Gleeson",2014,8.0
212,Dune: Part One,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",2021,8.0
213,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",1987,8.0
214,Rosemary's Baby,"Roman Polanski (dir.), Mia Farrow, John Cassavetes",1968,8.0
215,Slumdog Millionaire,"Danny Boyle (dir.), Dev Patel, Freida Pinto",2008,8.0
216,Butch Cassidy and the Sundance Kid,"George Roy Hill (dir.), Paul Newman, Robert Redford",1969,8.0
217,Anatomy of a Murder,"Otto Preminger (dir.), James Stewart, Lee Remick",1959,8.0
218,The Imitation Game,"Morten Tyldum (dir.), Benedict Cumberbatch, Keira Knightley",2014,8.0
219,The Bourne Ultimatum,"Paul Greengrass (dir.), Matt Damon, Edgar Ramírez",2007,8.0
220,Brief Encounter,"David Lean (dir.), Celia Johnson, Trevor Howard",1945,8.0
221,Magnolia,"Paul Thomas Anderson (dir.), Tom Cruise, Jason Robards",1999,8.0
222,The Avengers,"Joss Whedon (dir.), Robert Downey Jr., Chris Evans",2012,8.0
223,What Ever Happened to Baby Jane?,"Robert Aldrich (dir.), Bette Davis, Joan Crawford",1962,8.0
224,Sin City,"Frank Miller (dir.), Mickey Rourke, Clive Owen",2005,8.0
225,La La Land,"Damien Chazelle (dir.), Ryan Gosling, Emma Stone",2016,8.0
226,The King's Speech,"Tom Hooper (dir.), Colin Firth, Geoffrey Rush",2010,8.0
227,Rain Man,"Barry Levinson (dir.), Dustin Hoffman, Tom Cruise",1988,8.0
228,Casino Royale,"Martin Campbell (dir.), Daniel Craig, Eva Green",2006,8.0
229,Kind Hearts and Coronets,"Robert Hamer (dir.), Dennis Price, Alec Guinness",1949,8.0
230,La leggenda del pianista sull'oceano,"Giuseppe Tornatore (dir.), Tim Roth, Pruitt Taylor Vince",1998,8.0
231,Black Swan,"Darren Aronofsky (dir.), Natalie Portman, Mila Kunis",2010,8.0
232,The Graduate,"Mike Nichols (dir.), Dustin Hoffman, Anne Bancroft",1967,8.0
233,Zootopia,"Byron Howard (dir.), Ginnifer Goodwin, Jason Bateman",2016,8.0
234,Who's Afraid of Virginia Woolf?,"Mike Nichols (dir.), Elizabeth Taylor, Richard Burton",1966,8.0
235,Dogville,"Lars von Trier (dir.), Nicole Kidman, Paul Bettany",2003,8.0
236,The Martian,"Ridley Scott (dir.), Matt Damon, Jessica Chastain",2015,8.0
237,Sweet Smell of Success,"Alexander Mackendrick (dir.), Burt Lancaster, Tony Curtis",1957,8.0
238,The Message,"Moustapha Akkad (dir.), Anthony Quinn, Irene Papas",1976,8.0
239,The Straight Story,"David Lynch (dir.), Richard Farnsworth, Sissy Spacek",1999,8.0
240,The Pursuit of Happyness,"Gabriele Muccino (dir.), Will Smith, Thandiwe Newton",2006,8.0
241,Twelve Monkeys,"Terry Gilliam (dir.), Bruce Willis, Madeleine Stowe",1995,8.0
242,Secrets & Lies,"Mike Leigh (dir.), Timothy Spall, Brenda Blethyn",1996,8.0
243,The Night of the Hunter,"Charles Laughton (dir.), Robert Mitchum, Shelley Winters",1955,8.0
244,Planet of the Apes,"Franklin J. Schaffner (dir.), Charlton Heston, Roddy McDowall",1968,8.0
245,Blood Diamond,"Edward Zwick (dir.), Leonardo DiCaprio, Djimon Hounsou",2006,8.0
246,Papillon,"Franklin J. Schaffner (dir.), Steve McQueen, Dustin Hoffman",1973,8.0
247,Her,"Spike Jonze (dir.), Joaquin Phoenix, Amy Adams",2013,8.0
248,Annie Hall,"Woody Allen (dir.), Woody Allen, Diane Keaton",1977,8.0
249,Cinderella Man,"Ron Howard (dir.), Russell Crowe, Renée Zellweger",2005,8.0
