,title,actor,year,rating
189,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",1975,8.1
190,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",1953,8.1
191,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",1924,8.1
192,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",1939,8.1
193,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",2016,8.1
194,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",2003,8.1
195,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",2019,8.1
196,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",2014,8.1
197,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",1957,8.1
198,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",2015,8.1
199,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",2015,8.1
200,Mary and Max.,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",2009,8.1
201,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",2010,8.1
202,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",1998,8.1
203,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",2001,8.1
204,Jaws,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",1975,8.1
205,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",1953,8.1
206,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",1928,8.1
207,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",1989,8.1
208,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",2004,8.1
209,Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",2019,8.0
210,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",1976,8.0
211,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",1986,8.0
212,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",1955,8.0
213,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",1986,8.0
